1,0000001626.jpg,10002,0.99735767,183,979,724,1531
2,0000001626.jpg,10002,0.99801576,549,2652,1232,3299
3,0000001626.jpg,10002,0.9988881,1107,835,1870,1624
4,0000001626.jpg,10002,0.99815685,2264,863,2961,1584
5,0000001626.jpg,10002,0.99796176,2377,2670,3065,3262
6,0000001626.jpg,10002,0.9967204,3348,1047,3845,1550
7,0000001626.jpg,10002,0.99821776,3382,2651,4049,3260
8,0000001626.jpg,10002,0.9981552,4113,1029,4830,1748
9,0000001626.jpg,10002,0.99738985,4201,2651,4914,3237
10,0000001626.jpg,10002,0.99740535,1571,2728,2211,3341
11,0000001581.jpg,10002,0.998059,514,649,1075,1235
12,0000001581.jpg,10002,0.9976926,687,2479,1203,3002
13,0000001581.jpg,10002,0.9983664,1243,643,2053,1484
14,0000001581.jpg,10002,0.99855024,1709,2337,2473,3096
15,0000001581.jpg,10002,0.9967024,2380,613,2967,1232
16,0000001581.jpg,10002,0.9979686,2975,2505,3739,3145
17,0000001581.jpg,10002,0.99785244,3308,724,3896,1313
18,0000001581.jpg,10002,0.9983047,3832,2367,4432,2967
19,0000001581.jpg,10002,0.9984334,4108,584,4979,1484
20,0000001541.jpg,10002,0.9990669,510,1156,1482,2082
21,0000001541.jpg,10002,0.9982115,1934,1259,2555,1832
22,0000001541.jpg,10002,0.9972783,3083,1262,3727,1838
23,0000001592.jpg,10002,0.99741083,115,1040,682,1592
24,0000001592.jpg,10002,0.9975115,1044,1018,1596,1562
25,0000001592.jpg,10002,0.9983516,1351,2522,2092,3290
26,0000001592.jpg,10002,0.9970982,1877,1067,2410,1631
27,0000001592.jpg,10002,0.99813074,2778,1090,3309,1621
28,0000001592.jpg,10002,0.9973007,3461,2547,3974,3078
29,0000001592.jpg,10002,0.997547,3548,1040,4294,1822
30,0000001592.jpg,10002,0.9992175,4433,2507,5168,3258
31,0000001592.jpg,10002,0.99879575,4450,1040,5161,1827
32,0000001592.jpg,10002,0.9987847,240,2649,1022,3453
33,0000001592.jpg,10002,0.998572,2235,2616,2991,3402
34,0000001630.jpg,10002,0.9956416,87,1029,624,1570
35,0000001630.jpg,10002,0.9975405,1017,1013,1542,1551
36,0000001630.jpg,10002,0.99826354,1309,2531,2021,3283
37,0000001630.jpg,10002,0.9973242,1843,1071,2365,1626
38,0000001630.jpg,10002,0.99747247,2743,1093,3247,1629
39,0000001630.jpg,10002,0.9956863,3408,2558,3914,3089
40,0000001630.jpg,10002,0.9974547,3498,1049,4218,1831
41,0000001630.jpg,10002,0.9988827,4382,2529,5059,3253
42,0000001630.jpg,10002,0.9981767,4388,1060,5100,1850
43,0000001630.jpg,10002,0.99833775,184,2635,975,3451
44,0000001630.jpg,10002,0.9986525,2169,2619,2952,3395
45,0000001554.jpg,10002,0.997948,189,947,716,1488
46,0000001554.jpg,10002,0.99815744,553,2634,1258,3253
47,0000001554.jpg,10002,0.99868125,1110,802,1874,1589
48,0000001554.jpg,10002,0.9984359,2270,828,2974,1552
49,0000001554.jpg,10002,0.99757165,2379,2645,3071,3232
50,0000001554.jpg,10002,0.9972307,3354,1016,3840,1508
51,0000001554.jpg,10002,0.9978802,3391,2625,4052,3227
52,0000001554.jpg,10002,0.99799913,4126,973,4845,1715
53,0000001554.jpg,10002,0.9981817,4215,2608,4924,3213
54,0000001554.jpg,10002,0.99729294,1552,2684,2228,3301
55,0000001615.jpg,10002,0.99825305,467,615,1026,1193
56,0000001615.jpg,10002,0.99767727,640,2437,1170,2979
57,0000001615.jpg,10002,0.99819297,1201,591,2007,1449
58,0000001615.jpg,10002,0.99877995,1663,2294,2464,3073
59,0000001615.jpg,10002,0.99798226,2336,585,2905,1184
60,0000001615.jpg,10002,0.99716395,2938,2463,3703,3104
61,0000001615.jpg,10002,0.9979735,3258,671,3868,1274
62,0000001615.jpg,10002,0.99799097,3793,2309,4400,2915
63,0000001615.jpg,10002,0.998565,4050,529,4939,1441
64,0000001556.jpg,10002,0.9484856,109,842,463,1202
65,0000001556.jpg,10002,0.9913061,454,811,940,1289
66,0000001556.jpg,10002,0.9882614,1102,812,1451,1163
67,0000001556.jpg,10002,0.9932327,1677,878,2021,1212
68,0000001556.jpg,10002,0.9856894,2150,864,2636,1369
69,0000001556.jpg,10002,0.98593974,2714,781,3169,1278
70,0000001556.jpg,10002,0.98902017,3275,769,3668,1172
71,0000001556.jpg,10002,0.9913886,4049,817,4413,1189
72,0000001556.jpg,10002,0.9971111,4575,869,5104,1420
73,0000001556.jpg,10002,0.9916664,288,1773,596,2074
74,0000001556.jpg,10002,0.9927275,766,1751,1225,2251
75,0000001556.jpg,10002,0.99507785,1395,1834,1866,2331
76,0000001556.jpg,10002,0.98551416,2108,1745,2448,2069
77,0000001556.jpg,10002,0.9874013,2650,1807,3025,2164
78,0000001556.jpg,10002,0.9960478,3165,1869,3677,2356
79,0000001556.jpg,10002,0.9949785,3863,1876,4424,2366
80,0000001556.jpg,10002,0.99711764,4603,1871,5140,2385
81,0000001556.jpg,10002,0.9969637,323,2736,796,3205
82,0000001556.jpg,10002,0.9729232,875,2771,1310,3244
